Tag Name,json Object ID,Data Type,Respect Data Type,Client Access,comment
View_TagName.F1FBSBHM_EXHGE_X0_000_PDT00A,Channel2.Device1.View_TagName.F1FBSBHM_EXHGE_X0_000_PDT00A,,,,F1FBSBHM_EXHGE_X0_000_PDT00A
View_TagName.F1FBSBHM_EXHGE_X0_000_PDT00B,Channel2.Device1.View_TagName.F1FBSBHM_EXHGE_X0_000_PDT00B,,,,F1FBSBHM_EXHGE_X0_000_PDT00B
View_TagName.F1FBSBHM_MAUAS_AH_001_FN60A_T,Channel2.Device1.View_TagName.F1FBSBHM_MAUAS_AH_001_FN60A_T,,,,F1FBSBHM_MAUAS_AH_001_FN60A_T
View_TagName.F1FBSBHM_MAUAS_AH_001_FN60A_R,Channel2.Device1.View_TagName.F1FBSBHM_MAUAS_AH_001_FN60A_R,,,,F1FBSBHM_MAUAS_AH_001_FN60A_R
View_TagName.F1FBSBHM_WHRWO_PP_001_T,Channel2.Device1.View_TagName.F1FBSBHM_WHRWO_PP_001_T,,,,F1FBSBHM_WHRWO_PP_001_T
View_TagName.F1FBSBHM_WHRWO_PP_001_R,Channel2.Device1.View_TagName.F1FBSBHM_WHRWO_PP_001_R,,,,F1FBSBHM_WHRWO_PP_001_R
View_TagName.F1FBSBHM_MAUAS_AH_001_TT00T,Channel2.Device1.View_TagName.F1FBSBHM_MAUAS_AH_001_TT00T,,,,F1FBSBHM_MAUAS_AH_001_TT00T
View_TagName.F1FBSBHM_MAUAS_AH_001_MT00R,Channel2.Device1.View_TagName.F1FBSBHM_MAUAS_AH_001_MT00R,,,,F1FBSBHM_MAUAS_AH_001_MT00R
View_TagName.F1FBSBHM_MAUAS_AH_001_FIT60A,Channel2.Device1.View_TagName.F1FBSBHM_MAUAS_AH_001_FIT60A,,,,F1FBSBHM_MAUAS_AH_001_FIT60A
View_TagName.F1FBSBHM_MAUAS_AH_001_TT67T,Channel2.Device1.View_TagName.F1FBSBHM_MAUAS_AH_001_TT67T,,,,F1FBSBHM_MAUAS_AH_001_TT67T
View_TagName.F1FBSBHM_MAUAS_AH_001_MT67R,Channel2.Device1.View_TagName.F1FBSBHM_MAUAS_AH_001_MT67R,,,,F1FBSBHM_MAUAS_AH_001_MT67R
View_TagName.F1FBSBHM_MAUAS_AH_001_PDT75A,Channel2.Device1.View_TagName.F1FBSBHM_MAUAS_AH_001_PDT75A,,,,F1FBSBHM_MAUAS_AH_001_PDT75A
View_TagName.F1FBSBHM_MAUAS_AH_001_PDT76A,Channel2.Device1.View_TagName.F1FBSBHM_MAUAS_AH_001_PDT76A,,,,F1FBSBHM_MAUAS_AH_001_PDT76A
View_TagName.F1FBSBHM_MAUAS_AH_001_YS69A,Channel2.Device1.View_TagName.F1FBSBHM_MAUAS_AH_001_YS69A,,,,F1FBSBHM_MAUAS_AH_001_YS69A
View_TagName.F1FBSBHM_MAUAS_AH_002_FN60A_T,Channel2.Device1.View_TagName.F1FBSBHM_MAUAS_AH_002_FN60A_T,,,,F1FBSBHM_MAUAS_AH_002_FN60A_T
View_TagName.F1FBSBHM_MAUAS_AH_002_FN60A_R,Channel2.Device1.View_TagName.F1FBSBHM_MAUAS_AH_002_FN60A_R,,,,F1FBSBHM_MAUAS_AH_002_FN60A_R
View_TagName.F1FBSBHM_WHRWO_PP_002_T,Channel2.Device1.View_TagName.F1FBSBHM_WHRWO_PP_002_T,,,,F1FBSBHM_WHRWO_PP_002_T
View_TagName.F1FBSBHM_WHRWO_PP_002_R,Channel2.Device1.View_TagName.F1FBSBHM_WHRWO_PP_002_R,,,,F1FBSBHM_WHRWO_PP_002_R
View_TagName.F1FBSBHM_MAUAS_AH_002_TT00T,Channel2.Device1.View_TagName.F1FBSBHM_MAUAS_AH_002_TT00T,,,,F1FBSBHM_MAUAS_AH_002_TT00T
View_TagName.F1FBSBHM_MAUAS_AH_002_MT00R,Channel2.Device1.View_TagName.F1FBSBHM_MAUAS_AH_002_MT00R,,,,F1FBSBHM_MAUAS_AH_002_MT00R
View_TagName.F1FBSBHM_MAUAS_AH_002_FIT60A,Channel2.Device1.View_TagName.F1FBSBHM_MAUAS_AH_002_FIT60A,,,,F1FBSBHM_MAUAS_AH_002_FIT60A
View_TagName.F1FBSBHM_MAUAS_AH_002_TT67T,Channel2.Device1.View_TagName.F1FBSBHM_MAUAS_AH_002_TT67T,,,,F1FBSBHM_MAUAS_AH_002_TT67T
View_TagName.F1FBSBHM_MAUAS_AH_002_MT67R,Channel2.Device1.View_TagName.F1FBSBHM_MAUAS_AH_002_MT67R,,,,F1FBSBHM_MAUAS_AH_002_MT67R
View_TagName.F1FBSBHM_MAUAS_AH_002_PDT75A,Channel2.Device1.View_TagName.F1FBSBHM_MAUAS_AH_002_PDT75A,,,,F1FBSBHM_MAUAS_AH_002_PDT75A
View_TagName.F1FBSBHM_MAUAS_AH_002_PDT76A,Channel2.Device1.View_TagName.F1FBSBHM_MAUAS_AH_002_PDT76A,,,,F1FBSBHM_MAUAS_AH_002_PDT76A
View_TagName.F1FBSBHM_MAUAS_AH_002_YS69A,Channel2.Device1.View_TagName.F1FBSBHM_MAUAS_AH_002_YS69A,,,,F1FBSBHM_MAUAS_AH_002_YS69A
View_TagName.F1FBOFA2_HVAVA_VH_001_TE00A,Channel2.Device1.View_TagName.F1FBOFA2_HVAVA_VH_001_TE00A,,,,F1FBOFA2_HVAVA_VH_001_TE00A
View_TagName.F1FBOFA2_HVAVA_VH_002_TE00A,Channel2.Device1.View_TagName.F1FBOFA2_HVAVA_VH_002_TE00A,,,,F1FBOFA2_HVAVA_VH_002_TE00A
View_TagName.F1FBOFA2_HVAVA_VH_003_TE00A,Channel2.Device1.View_TagName.F1FBOFA2_HVAVA_VH_003_TE00A,,,,F1FBOFA2_HVAVA_VH_003_TE00A
View_TagName.F1FBOFA2_HVAVA_VH_004_TE00A,Channel2.Device1.View_TagName.F1FBOFA2_HVAVA_VH_004_TE00A,,,,F1FBOFA2_HVAVA_VH_004_TE00A
View_TagName.F1FBOFA2_HVAVA_VV_001_TE00A,Channel2.Device1.View_TagName.F1FBOFA2_HVAVA_VV_001_TE00A,,,,F1FBOFA2_HVAVA_VV_001_TE00A
View_TagName.F1FBOFA2_HVAVA_VV_002_TE00A,Channel2.Device1.View_TagName.F1FBOFA2_HVAVA_VV_002_TE00A,,,,F1FBOFA2_HVAVA_VV_002_TE00A
View_TagName.F1FBOFA2_HVAVA_VV_003_TE00A,Channel2.Device1.View_TagName.F1FBOFA2_HVAVA_VV_003_TE00A,,,,F1FBOFA2_HVAVA_VV_003_TE00A
